E	M	N
72	-32	0
72	-30	0
72	-28	0
72	-26	0
72	-24	0
72	-22	0
72	-20	0
72	-18	0
72	-16	0
72	-14	0
72	-12	0
72	-10	0
72	-8	0
72	-6	0
72	-4	0
72	-2	0
72	0	2
72	2	0
72	4	0
72	6	0
72	8	0
72	10	0
72	12	0
72	14	0
72	16	0
72	18	0
72	20	0
72	22	0
72	24	0
72	26	0
72	28	0
72	30	0
72	32	0
72	34	0
72	36	0

